date,close,equity
2019-06-26,7627.0498046875,5000.0
2019-06-27,7657.0498046875,5000.0
2019-06-28,7671.080078125,5000.0
2019-07-01,7768.14013671875,5000.0
2019-07-02,7799.81982421875,5000.0
2019-07-03,7857.68994140625,5000.0
2019-07-05,7841.2998046875,5000.0
2019-07-08,7785.7900390625,5000.0
2019-07-09,7826.85986328125,5000.0
2019-07-10,7903.39990234375,5000.0
2019-07-11,7896.77978515625,5000.0
2019-07-12,7943.240234375,5000.0
2019-07-15,7966.93017578125,5000.0
2019-07-16,7927.080078125,5000.0
2019-07-17,7888.759765625,5000.0
2019-07-18,7904.1298828125,5000.0
2019-07-19,7834.89990234375,5000.0
2019-07-22,7905.1201171875,5000.0
2019-07-23,7954.56005859375,5000.0
2019-07-24,8010.60986328125,5000.0
2019-07-25,7929.8701171875,5000.0
2019-07-26,8016.9501953125,5000.0
2019-07-29,7989.080078125,5000.0
2019-07-30,7952.47021484375,5000.0
2019-07-31,7848.77978515625,5000.0
2019-08-01,7801.14990234375,5000.0
2019-08-02,7692.7998046875,5000.0
2019-08-05,7415.68994140625,5000.0
2019-08-06,7521.31982421875,5000.0
2019-08-07,7551.89990234375,5000.0
2019-08-08,7724.830078125,5000.0
2019-08-09,7646.27001953125,5000.0
2019-08-12,7561.68017578125,5000.0
2019-08-13,7728.14990234375,5000.0
2019-08-14,7490.1298828125,5000.0
2019-08-15,7484.89013671875,5000.0
2019-08-16,7604.10986328125,5000.0
2019-08-19,7719.31982421875,5000.0
2019-08-20,7664.47021484375,5000.0
2019-08-21,7733.22021484375,5000.0
2019-08-22,7707.43017578125,5000.0
2019-08-23,7464.990234375,5000.0
2019-08-26,7575.02001953125,5000.0
2019-08-27,7566.02978515625,5000.0
2019-08-28,7587.89990234375,5000.0
2019-08-29,7702.31005859375,5000.0
2019-08-30,7691.0,5000.0
2019-09-03,7609.509765625,5000.0
2019-09-04,7719.25,5000.0
2019-09-05,7862.5400390625,5000.0
2019-09-06,7852.5400390625,5000.0
2019-09-09,7832.39990234375,5000.0
2019-09-10,7814.740234375,5000.0
2019-09-11,7887.580078125,5000.0
2019-09-12,7917.33984375,5000.0
2019-09-13,7892.9501953125,5000.0
2019-09-16,7852.41015625,5000.0
2019-09-17,7888.7900390625,5000.0
2019-09-18,7888.56005859375,5000.0
2019-09-19,7901.7900390625,5000.0
2019-09-20,7823.5498046875,5000.0
2019-09-23,7818.60986328125,5000.0
2019-09-24,7710.0400390625,5000.0
2019-09-25,7803.5400390625,5000.0
2019-09-26,7771.990234375,5000.0
2019-09-27,7681.580078125,5000.0
2019-09-30,7749.4501953125,5000.0
2019-10-01,7684.14013671875,5000.0
2019-10-02,7550.7900390625,5000.0
2019-10-03,7638.39013671875,5000.0
2019-10-04,7754.10009765625,5000.0
2019-10-07,7725.1298828125,5000.0
2019-10-08,7604.27001953125,5000.0
2019-10-09,7690.52978515625,5000.0
2019-10-10,7740.35986328125,5000.0
2019-10-11,7843.8798828125,5000.0
2019-10-14,7842.330078125,5000.0
2019-10-15,7942.85009765625,5000.0
2019-10-16,7920.2099609375,5000.0
2019-10-17,7942.14013671875,5000.0
2019-10-18,7868.490234375,5000.0
2019-10-21,7940.330078125,5000.0
2019-10-22,7874.6201171875,5000.0
2019-10-23,7889.47021484375,5000.0
2019-10-24,7966.72021484375,5000.0
2019-10-25,8029.22021484375,5000.0
2019-10-28,8110.669921875,5000.0
2019-10-29,8047.509765625,5000.0
2019-10-30,8083.10986328125,5000.0
2019-10-31,8083.830078125,5000.0
2019-11-01,8161.169921875,5000.0
2019-11-04,8210.66015625,5000.0
2019-11-05,8210.1796875,5000.0
2019-11-06,8196.0302734375,5000.0
2019-11-07,8219.650390625,5000.0
2019-11-08,8255.8896484375,5000.0
2019-11-11,8241.91015625,5000.0
2019-11-12,8263.7900390625,5000.0
2019-11-13,8259.8095703125,5000.0
2019-11-14,8257.830078125,5000.0
2019-11-15,8315.51953125,5000.0
2019-11-18,8328.48046875,5000.0
2019-11-19,8338.740234375,5000.0
2019-11-20,8283.75,5000.0
2019-11-21,8265.6201171875,5000.0
2019-11-22,8272.0498046875,5000.0
2019-11-25,8371.9296875,5000.0
2019-11-26,8385.75,5000.0
2019-11-27,8444.7099609375,5000.0
2019-11-29,8403.6796875,5000.0
2019-12-02,8309.259765625,5000.0
2019-12-03,8254.740234375,5000.0
2019-12-04,8296.5302734375,5000.0
2019-12-05,8308.400390625,5000.0
2019-12-06,8397.3701171875,5000.0
2019-12-09,8362.740234375,5000.0
2019-12-10,8354.2900390625,5000.0
2019-12-11,8402.6103515625,5000.0
2019-12-12,8466.8896484375,5000.0
2019-12-13,8487.7099609375,5000.0
2019-12-16,8570.330078125,5000.0
2019-12-17,8575.7001953125,5000.0
2019-12-18,8580.6201171875,5000.0
2019-12-19,8641.2900390625,5000.0
2019-12-20,8678.490234375,5000.0
2019-12-23,8696.009765625,5000.0
2019-12-24,8699.509765625,5000.0
2019-12-26,8778.3095703125,5000.0
2019-12-27,8770.98046875,5000.0
2019-12-30,8709.73046875,5000.0
2019-12-31,8733.0703125,5000.0
2020-01-02,8872.2197265625,5000.0
2020-01-03,8793.900390625,5000.0
2020-01-06,8848.51953125,5000.0
2020-01-07,8846.4501953125,5000.0
2020-01-08,8912.3701171875,5000.0
2020-01-09,8989.6298828125,5000.0
2020-01-10,8966.6396484375,5000.0
2020-01-13,9070.650390625,5000.0
2020-01-14,9033.419921875,5000.0
2020-01-15,9035.669921875,5000.0
2020-01-16,9125.0,5000.0
2020-01-17,9173.73046875,5000.0
2020-01-21,9166.6298828125,5000.0
2020-01-22,9188.580078125,5000.0
2020-01-23,9216.98046875,5000.0
2020-01-24,9141.4697265625,5000.0
2020-01-27,8952.1796875,5000.0
2020-01-28,9090.9296875,5000.0
2020-01-29,9101.6103515625,5000.0
2020-01-30,9136.08984375,5000.0
2020-01-31,8991.509765625,5000.0
2020-02-03,9126.23046875,5000.0
2020-02-04,9334.0595703125,5000.0
2020-02-05,9367.48046875,5000.0
2020-02-06,9445.919921875,5000.0
2020-02-07,9401.099609375,5000.0
2020-02-10,9516.83984375,5000.0
2020-02-11,9517.8603515625,5000.0
2020-02-12,9613.2001953125,5000.0
2020-02-13,9595.7001953125,5000.0
2020-02-14,9623.580078125,5000.0
2020-02-18,9629.7998046875,5000.0
2020-02-19,9718.73046875,5000.0
2020-02-20,9627.830078125,5000.0
2020-02-21,9446.6904296875,5000.0
2020-02-24,9079.6298828125,5000.0
2020-02-25,8834.8701171875,5000.0
2020-02-26,8873.759765625,5000.0
2020-02-27,8436.669921875,5000.0
2020-02-28,8461.830078125,5000.0
2020-03-02,8877.98046875,5000.0
2020-03-03,8594.490234375,5000.0
2020-03-04,8949.2802734375,5000.0
2020-03-05,8671.66015625,5000.0
2020-03-06,8530.33984375,5000.0
2020-03-09,7948.02978515625,5000.0
2020-03-10,8372.26953125,5000.0
2020-03-11,8006.1201171875,5000.0
2020-03-12,7263.64990234375,5000.0
2020-03-13,7995.259765625,5000.0
2020-03-16,7020.3798828125,5000.0
2020-03-17,7473.9501953125,5000.0
2020-03-18,7175.18017578125,5000.0
2020-03-19,7288.52001953125,5000.0
2020-03-20,6994.2900390625,5000.0
2020-03-23,7006.919921875,5000.0
2020-03-24,7553.830078125,5000.0
2020-03-25,7469.6201171875,5000.0
2020-03-26,7897.1298828125,5000.0
2020-03-27,7588.3701171875,5000.0
2020-03-30,7889.009765625,5000.0
2020-03-31,7813.5,5000.0
2020-04-01,7486.2900390625,5000.0
2020-04-02,7635.66015625,5000.0
2020-04-03,7528.10986328125,5000.0
2020-04-06,8081.66015625,5000.0
2020-04-07,8049.31005859375,5000.0
2020-04-08,8229.5400390625,5000.0
2020-04-09,8238.5302734375,5000.0
2020-04-13,8332.740234375,5000.0
2020-04-14,8692.16015625,5000.0
2020-04-15,8591.9599609375,5000.0
2020-04-16,8757.830078125,5000.0
2020-04-17,8832.41015625,5000.0
2020-04-20,8726.509765625,5000.0
2020-04-21,8403.0,5000.0
2020-04-22,8664.6396484375,5000.0
2020-04-23,8641.5,5000.0
2020-04-24,8786.599609375,5000.0
2020-04-27,8837.66015625,5000.0
2020-04-28,8677.599609375,5000.0
2020-04-29,8982.759765625,5000.0
2020-04-30,9000.509765625,5000.0
2020-05-01,8718.1796875,5000.0
2020-05-04,8834.1103515625,5000.0
2020-05-05,8930.6201171875,5000.0
2020-05-06,8984.8603515625,5000.0
2020-05-07,9101.8798828125,5000.0
2020-05-08,9220.349609375,5000.0
2020-05-11,9298.919921875,5000.0
2020-05-12,9112.4501953125,5000.0
2020-05-13,9000.080078125,5000.0
2020-05-14,9094.419921875,5000.0
2020-05-15,9152.6396484375,5000.0
2020-05-18,9331.9296875,5000.0
2020-05-19,9298.5400390625,5000.0
2020-05-20,9485.01953125,5000.0
2020-05-21,9377.990234375,5000.0
2020-05-22,9413.990234375,5000.0
2020-05-26,9389.98046875,5000.0
2020-05-27,9442.0498046875,5000.0
2020-05-28,9416.7099609375,5000.0
2020-05-29,9555.5302734375,5000.0
2020-06-01,9598.8896484375,5000.0
2020-06-02,9657.3095703125,5000.0
2020-06-03,9704.6904296875,5000.0
2020-06-04,9629.66015625,5000.0
2020-06-05,9824.3896484375,5000.0
2020-06-08,9901.51953125,5000.0
2020-06-09,9967.169921875,5000.0
2020-06-10,10094.259765625,5000.0
2020-06-11,9588.48046875,5000.0
2020-06-12,9663.7802734375,5000.0
2020-06-15,9776.8896484375,5000.0
2020-06-16,9949.3701171875,5000.0
2020-06-17,9982.48046875,5000.0
2020-06-18,10012.0498046875,5000.0
2020-06-19,10008.6396484375,5000.0
2020-06-22,10130.330078125,5000.0
2020-06-23,10209.8203125,5000.0
2020-06-24,10002.7001953125,5000.0
2020-06-25,10101.830078125,5000.0
2020-06-26,9849.3603515625,5000.0
2020-06-29,9961.16015625,5000.0
2020-06-30,10156.849609375,5000.0
2020-07-01,10279.25,5000.0
2020-07-02,10341.8896484375,5000.0
2020-07-06,10604.0595703125,5000.0
2020-07-07,10524.009765625,5000.0
2020-07-08,10666.7001953125,5000.0
2020-07-09,10754.58984375,5000.0
2020-07-10,10836.330078125,5000.0
2020-07-13,10602.2099609375,5000.0
2020-07-14,10689.51953125,5000.0
2020-07-15,10701.6796875,5000.0
2020-07-16,10626.4599609375,5000.0
2020-07-17,10645.2197265625,5000.0
2020-07-20,10952.080078125,5000.0
2020-07-21,10833.0703125,5000.0
2020-07-22,10870.75,5000.0
2020-07-23,10580.58984375,5000.0
2020-07-24,10483.1298828125,5000.0
2020-07-27,10674.3798828125,5000.0
2020-07-28,10532.5,5000.0
2020-07-29,10662.98046875,5000.0
2020-07-30,10715.509765625,5000.0
2020-07-31,10905.8798828125,5000.0
2020-08-03,11055.080078125,5000.0
2020-08-04,11096.5400390625,5000.0
2020-08-05,11125.4404296875,5000.0
2020-08-06,11267.080078125,5000.0
2020-08-07,11139.3896484375,5000.0
2020-08-10,11085.169921875,5000.0
2020-08-11,10876.080078125,5000.0
2020-08-12,11157.7197265625,5000.0
2020-08-13,11178.3701171875,5000.0
2020-08-14,11164.4501953125,5000.0
2020-08-17,11288.5703125,5000.0
2020-08-18,11399.0302734375,5000.0
2020-08-19,11318.6396484375,5000.0
2020-08-20,11477.0498046875,5000.0
2020-08-21,11555.16015625,5000.0
2020-08-24,11626.169921875,5000.0
2020-08-25,11721.8095703125,5000.0
2020-08-26,11971.9404296875,5000.0
2020-08-27,11926.16015625,5000.0
2020-08-28,11995.849609375,5000.0
2020-08-31,12110.7001953125,5000.0
2020-09-01,12292.8603515625,5000.0
2020-09-02,12420.5400390625,5000.0
2020-09-03,11771.3701171875,5000.0
2020-09-04,11622.1298828125,5000.0
2020-09-08,11068.259765625,5000.0
2020-09-09,11395.849609375,5000.0
2020-09-10,11154.1201171875,5000.0
2020-09-11,11087.400390625,5000.0
2020-09-14,11277.759765625,5000.0
2020-09-15,11438.8701171875,5000.0
2020-09-16,11247.599609375,5000.0
2020-09-17,11080.9501953125,5000.0
2020-09-18,10936.98046875,5000.0
2020-09-21,10980.2197265625,5000.0
2020-09-22,11186.3701171875,5000.0
2020-09-23,10833.330078125,5000.0
2020-09-24,10896.4697265625,5000.0
2020-09-25,11151.1298828125,5000.0
2020-09-28,11364.4501953125,5000.0
2020-09-29,11322.9501953125,5000.0
2020-09-30,11418.0595703125,5000.0
2020-10-01,11583.2001953125,5000.0
2020-10-02,11255.6904296875,5000.0
2020-10-05,11509.0595703125,5000.0
2020-10-06,11291.26953125,5000.0
2020-10-07,11503.1904296875,5000.0
2020-10-08,11550.9404296875,5000.0
2020-10-09,11725.849609375,5000.0
2020-10-12,12088.1103515625,5000.0
2020-10-13,12083.169921875,5000.0
2020-10-14,11985.3603515625,5000.0
2020-10-15,11898.5703125,5000.0
2020-10-16,11852.169921875,5000.0
2020-10-19,11634.349609375,5000.0
2020-10-20,11677.83984375,5000.0
2020-10-21,11665.3701171875,5000.0
2020-10-22,11662.91015625,5000.0
2020-10-23,11692.5703125,5000.0
2020-10-26,11504.51953125,5000.0
2020-10-27,11598.9501953125,5000.0
2020-10-28,11142.759765625,5000.0
2020-10-29,11350.740234375,5000.0
2020-10-30,11052.9501953125,5000.0
2020-11-02,11084.759765625,5000.0
2020-11-03,11279.91015625,5000.0
2020-11-04,11777.01953125,5000.0
2020-11-05,12078.0703125,5000.0
2020-11-06,12091.349609375,5000.0
2020-11-09,11830.3896484375,5000.0
2020-11-10,11624.2900390625,5000.0
2020-11-11,11892.9296875,5000.0
2020-11-12,11827.1396484375,5000.0
2020-11-13,11937.83984375,5000.0
2020-11-16,12013.3798828125,5000.0
2020-11-17,11977.490234375,5000.0
2020-11-18,11894.7099609375,5000.0
2020-11-19,11985.4296875,5000.0
2020-11-20,11906.4404296875,5000.0
2020-11-23,11905.9404296875,5000.0
2020-11-24,12079.8095703125,5000.0
2020-11-25,12152.2197265625,5000.0
2020-11-27,12258.2099609375,5000.0
2020-11-30,12268.3203125,5000.0
2020-12-01,12455.330078125,5000.0
2020-12-02,12456.41015625,5000.0
2020-12-03,12467.1298828125,5000.0
2020-12-04,12528.48046875,5000.0
2020-12-07,12596.4697265625,5000.0
2020-12-08,12635.7197265625,5000.0
2020-12-09,12364.6396484375,5000.0
2020-12-10,12401.740234375,5000.0
2020-12-11,12375.41015625,5000.0
2020-12-14,12462.2099609375,5000.0
2020-12-15,12595.919921875,5000.0
2020-12-16,12668.16015625,5000.0
2020-12-17,12752.0595703125,5000.0
2020-12-18,12738.1796875,5000.0
2020-12-21,12690.259765625,5000.0
2020-12-22,12717.5595703125,5000.0
2020-12-23,12653.1396484375,5000.0
2020-12-24,12711.009765625,5000.0
2020-12-28,12838.8603515625,5000.0
2020-12-29,12843.490234375,5000.0
2020-12-30,12845.3603515625,5000.0
2020-12-31,12888.2802734375,5000.0
2021-01-04,12694.66015625,5000.0
2021-01-05,12802.3798828125,5000.0
2021-01-06,12623.349609375,5000.0
2021-01-07,12939.5703125,5000.0
2021-01-08,13105.2001953125,5000.0
2021-01-11,12902.490234375,5000.0
2021-01-12,12892.08984375,5000.0
2021-01-13,12973.6298828125,5000.0
2021-01-14,12898.6904296875,5000.0
2021-01-15,12803.9296875,5000.0
2021-01-19,12996.5400390625,5000.0
2021-01-20,13296.4501953125,5000.0
2021-01-21,13404.990234375,5000.0
2021-01-22,13366.400390625,5000.0
2021-01-25,13483.2900390625,5000.0
2021-01-26,13490.1904296875,5000.0
2021-01-27,13112.650390625,5000.0
2021-01-28,13201.5302734375,5000.0
2021-01-29,12925.3798828125,5000.0
2021-02-01,13248.900390625,5000.0
2021-02-02,13456.1201171875,5000.0
2021-02-03,13402.3701171875,5000.0
2021-02-04,13560.8896484375,5000.0
2021-02-05,13603.9599609375,5000.0
2021-02-08,13695.01953125,5000.0
2021-02-09,13687.080078125,5000.0
2021-02-10,13655.26953125,5000.0
2021-02-11,13734.349609375,5000.0
2021-02-12,13807.7001953125,5000.0
2021-02-16,13773.76953125,5000.0
2021-02-17,13699.7099609375,5000.0
2021-02-18,13637.509765625,5000.0
2021-02-19,13580.7802734375,5000.0
2021-02-22,13223.740234375,5000.0
2021-02-23,13194.7099609375,5000.0
2021-02-24,13302.1904296875,5000.0
2021-02-25,12828.3095703125,5000.0
2021-02-26,12909.4404296875,5000.0
2021-03-01,13282.9501953125,5000.0
2021-03-02,13059.9501953125,5000.0
2021-03-03,12683.330078125,5000.0
2021-03-04,12464.0,5000.0
2021-03-05,12668.509765625,5000.0
2021-03-08,12299.080078125,5000.0
2021-03-09,12794.490234375,5000.0
2021-03-10,12752.0703125,5000.0
2021-03-11,13052.900390625,5000.0
2021-03-12,12937.2900390625,5000.0
2021-03-15,13082.5400390625,5000.0
2021-03-16,13152.2802734375,5000.0
2021-03-17,13202.3798828125,5000.0
2021-03-18,12789.1396484375,5000.0
2021-03-19,12866.990234375,5000.0
2021-03-22,13086.509765625,5000.0
2021-03-23,13017.7900390625,5000.0
2021-03-24,12798.8798828125,5000.0
2021-03-25,12780.509765625,5000.0
2021-03-26,12979.1201171875,5000.0
2021-03-29,12965.740234375,5000.0
2021-03-30,12896.5302734375,5000.0
2021-03-31,13091.4404296875,5000.0
2021-04-01,13329.51953125,5000.0
2021-04-05,13598.16015625,5000.0
2021-04-06,13578.4599609375,5000.0
2021-04-07,13616.7001953125,5000.0
2021-04-08,13758.509765625,5000.0
2021-04-09,13845.0595703125,5000.0
2021-04-12,13819.349609375,5000.0
2021-04-13,13986.490234375,5000.0
2021-04-14,13803.91015625,5000.0
2021-04-15,14026.1904296875,5000.0
2021-04-16,14041.91015625,5000.0
2021-04-19,13907.669921875,5000.0
2021-04-20,13809.2998046875,5000.0
2021-04-21,13935.150390625,5000.0
2021-04-22,13762.3603515625,5000.0
2021-04-23,13941.4404296875,5000.0
2021-04-26,14026.16015625,5000.0
2021-04-27,13960.2802734375,5000.0
2021-04-28,13901.6201171875,5000.0
2021-04-29,13970.2001953125,5000.0
2021-04-30,13860.759765625,5000.0
2021-05-03,13799.7197265625,5000.0
2021-05-04,13544.669921875,5000.0
2021-05-05,13503.3701171875,5000.0
2021-05-06,13613.73046875,5000.0
2021-05-07,13719.6298828125,5000.0
2021-05-10,13359.080078125,5000.0
2021-05-11,13351.26953125,5000.0
2021-05-12,13001.6298828125,5000.0
2021-05-13,13109.150390625,5000.0
2021-05-14,13393.1201171875,5000.0
2021-05-17,13312.91015625,5000.0
2021-05-18,13217.6796875,5000.0
2021-05-19,13237.91015625,5000.0
2021-05-20,13494.08984375,5000.0
2021-05-21,13411.740234375,5000.0
2021-05-24,13641.75,5000.0
2021-05-25,13657.73046875,5000.0
2021-05-26,13702.740234375,5000.0
2021-05-27,13657.849609375,5000.0
2021-05-28,13686.509765625,5000.0
2021-06-01,13654.58984375,5000.0
2021-06-02,13675.7900390625,5000.0
2021-06-03,13529.6796875,5000.0
2021-06-04,13770.76953125,5000.0
2021-06-07,13802.8896484375,5000.0
2021-06-08,13810.8603515625,5000.0
2021-06-09,13814.9404296875,5000.0
2021-06-10,13960.349609375,5000.0
2021-06-11,13998.2998046875,5000.0
2021-06-14,14128.2001953125,5000.0
2021-06-15,14030.41015625,5000.0
2021-06-16,13983.009765625,5000.0
2021-06-17,14163.8095703125,5000.0
2021-06-18,14049.580078125,5000.0
2021-06-21,14137.23046875,5000.0
2021-06-22,14270.419921875,5000.0
2021-06-23,14274.240234375,5000.0
2021-06-24,14365.9599609375,5000.0
2021-06-25,14345.1796875,5000.0
2021-06-28,14524.98046875,5000.0
2021-06-29,14572.75,5000.0
2021-06-30,14554.7998046875,5000.0
2021-07-01,14560.0498046875,5000.0
2021-07-02,14727.6298828125,5000.0
2021-07-06,14786.3603515625,5000.0
2021-07-07,14810.5400390625,5000.0
2021-07-08,14722.1396484375,5000.0
2021-07-09,14826.08984375,5000.0
2021-07-12,14877.8896484375,5000.0
2021-07-13,14874.5400390625,5000.0
2021-07-14,14900.4404296875,5000.0
2021-07-15,14794.6904296875,5000.0
2021-07-16,14681.3798828125,5000.0
2021-07-19,14549.08984375,5000.0
2021-07-20,14728.2099609375,5000.0
2021-07-21,14842.6298828125,5000.0
2021-07-22,14940.169921875,5000.0
2021-07-23,15111.7900390625,5000.0
2021-07-26,15125.9501953125,5000.0
2021-07-27,14956.9697265625,5000.0
2021-07-28,15018.099609375,5000.0
2021-07-29,15048.3603515625,5000.0
2021-07-30,14959.900390625,5000.0
2021-08-02,14963.6201171875,5000.0
2021-08-03,15061.419921875,5000.0
2021-08-04,15083.3896484375,5000.0
2021-08-05,15181.6396484375,5000.0
2021-08-06,15109.3603515625,5000.0
2021-08-09,15133.1103515625,5000.0
2021-08-10,15053.580078125,5000.0
2021-08-11,15027.759765625,5000.0
2021-08-12,15088.98046875,5000.0
2021-08-13,15136.6796875,5000.0
2021-08-16,15140.76953125,5000.0
2021-08-17,15002.830078125,5000.0
2021-08-18,14857.919921875,5000.0
2021-08-19,14933.9404296875,5000.0
